Peak Name|Rank|Genomic location|Peak region|GISTIC q-value|Gene count|Target(s)|Frequently mutated genesB
CDKN2A|1|9p21.3|chr9:21865498-22448737|0|4|CDKN2AK|CDKN2A = 4.4e-15
STK11|2|19p13.3|chr19:1103715-1272039|1,46E-238|7|STK11K|STK11 = 2.5e-13
PDE4D|3|5q11.2|chr5:58260298-59787985|2,02E-143|3|PDE4DL|
PARK2|4|6q26|chr6:161693099-163153207|5,85E-137|1|PARK2L,K|
LRP1B|5|2q22.1|chr2:139655617-143637838|4,25E-107|1|LRP1BL|
CSMD1|6|8p23.2|chr8:2079140-6262191|2,39E-96|1|CSMD1L|
1p36.23|7|1p36.23|chr1:7829287-8925111|1,23E-93|8||
ARID1A|8|1p36.11|chr1:26900639-27155421|5,74E-87|2|ARID1AK|ARID1A = 1.5e-14
PTEN|9|10q23.31|chr10:89615138-90034038|1,12E-79|2|PTEN K|PTEN = 2.2e-15
WWOX|10|16q23.1|chr16:78129058-79627770|8,14E-76|1|WWOXL|WWOX = 0.092
RB1|11|13q14.2|chr13:48833767-49064807|3,88E-75|2|RB1K|RB1 = 1.7e-13
FAM190A|12|4q22.1|chr4:90844993-93240505|9,26E-75|1|FAM190AL|
2q37.3|13|2q37.3T |chr2:241544527-243199373|1,77E-70|29|ING5E|
22q13.32|14|22q13.32T|chr22:48026910-51304566|8,20E-65|45|BRD1E, HDAC10E|
11p15.5|15|11p15.5T|chr11:1-709860|1,02E-62|34|SIRT3E, PHRF1E|HRAS = 7.8e-13
LINC00290|16|4q34.3|chr4:178911874-183060693|1,21E-55|1|LINC00290|
FHIT|17|3p14.2|chr3:59034763-61547330|3,01E-55|1|FHITL|
RBFOX1|18|16p13.3|chr16:5144019-7771745|1,00E-45|1|RBFOX1L|
PTPRD|19|9p24.1|chr9:8310705-12693402|3,24E-38|1|PTPRDL|
18q23|20|18q23T|chr18:74979706-78077248|1,69E-37|12||
FAT1|21|4q35.2|chr4:187475875-188227950|6,81E-36|1|FAT1K|FAT1 = 2.4e-15
MPHOSPH8|22|13q12.11T|chr13:1-20535070|2,57E-31|10|MPHOSPH8E|
15q15.1|23|15q15.1|chr15:41795901-42068054|2,71E-29|4||MGA = 0.0083, RPAP1=0.035
11q25|24|11q25T|chr11:133400280-135006516|4,93E-26|14||
1p13.2|25|1p13.2|chr1:110048528-117687124|1,69E-25|100|TRIM33E|NRAS=1.8e-13, CD58=0.079
